model,acc_mean,f1_mean,roc_auc_mean,pr_auc_mean
MLP,0.9791666666666666,0.9789978876930464,0.9988717876440496,0.9986541633794201
XGB,0.9631944444444445,0.9628600991433123,0.9953701008729681,0.994630825818323
LGB,0.9625,0.9620594149786109,0.9957300283789998,0.9950453336901433
RFS,0.9395833333333332,0.9387157672068644,0.9902479286237125,0.9888534338083875
DTS,0.8833333333333334,0.8823150265149338,0.882328310318725,0.8184858702242271
LRN,0.8819444444444444,0.8809856127294944,0.9646927450024523,0.9627482407312842
LDA,0.88125,0.8804825439144424,0.9629705952128624,0.9619346405779776
GNB,0.8736111111111111,0.8729092611414411,0.9484477052201064,0.9506091187664885
KNN,0.8701388888888889,0.8693591964271388,0.9448056613980981,0.9120694218079837
